site,en,ja
.gov,1,0
.go.jp,1,1
.gov.uk,1,0
.gc.ca,1,0
.gov.au,0,0
.gouv.fr,0,0
.govt.nz,0,0
.int,1,0
.edu,1,0
.ac.jp,1,1
.ac.uk,1,0
.edu.au,1,0
.org,1,1
.or.jp,1,1
.gr.jp,1,1
.org.uk,1,0
msdmanuals.com,1,1
scholar.google.com,1,1
freebooks4doctors.com,1,0
sciencedirect.com,1,0
karger.com,1,0
g-i-n.net,1,0
bl.uk,1,0
cebm.net,1,0
iarc.fr,1,0
jamanetwork.com,1,0
bmj.com,1,0
thelancet.com,1,0
nature.com,1,0
drugbank.ca,1,0
kegg.jp,1,1
genome.jp,1,1
elsevier.com,1,0
jsrm.jp,0,1
data-portal.jp,0,1
riken.jp,0,1
biosciencedbc.jp,0,1
dbcls.jp,0,1
midb.jp,0,1
ganjoho.jp,0,1
umin.jp,0,1
clinicaltrials.jp,0,1
medals.jp,0,1
antibiotic-books.jp,0,1
toyama-wakan.net,0,1
neuroinf.jp,0,1
jsm-db.info,0,1
nejm.jp,0,1
natureasia.com,0,1
carenet.com,0,1
takeda-kenko.jp,0,1
nk.jiho.jp,0,1
medical.nikkeibp.co.jp,0,0
websurg.com,0,0
yakuji.co.jp,0,0
pathologycenter.jp,0,0
jcggdb.jp,0,0
cell.com,0,0
integbio.jp,0,0
knapsackfamily.com,0,0
metabolomics.jp,0,0
jah.ne.jp,0,0
igaku-shoin.co.jp,0,0
espacenet.com,0,0
hgc.jp,0,0
proquest.com,0,0
zbmed.de,0,0
iso.ch,0,0
webofknowledge.com,0,0
bookwire.com,0,0
wiley.co.jp,0,0
pieronline.jp,0,0
sunmedia.co.jp,0,0
flyingpublisher.com,0,0
mutationview.jp,0,0
h-invitational.jp,0,0
jshg.jp,0,0
cytogen.jp,0,0
physiome.jp,0,0
syndromic-surveillance.com,0,0
jsam.jp,0,0
epigenome.cbrc.jp,0,0
bmi-tokai.jp,0,0
ebm-library.jp,0,0
doljapan.com,0,0
isho.jp,0,0
islib.jp,0,0
